"cd_municipio","dt_versao_orc","cd_orgao","cd_unid_orc","dt_emissao_ne","nu_nota_empenho","dt_liquid_liq","tp_nf","nu_nf","nu_item_seq_in","de_item_in1","de_item_in2","de_unid_compra_in","nu_quant_comprada_in","vl_unit_item_in","vl_total_item_in","cd_ncm_in"
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102004",2007-07-10 00:00:00,V,"4696012","001 ",FORNECIMENTO DE AGUA AO PODER LEGISLATIVO DESTE MUNICIPIO., ,UM,1.0000,30.450000,30.4500,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102004",2007-08-10 00:00:00,V,"46960120","001 ",FORNECIMENTO DE AGUA AO PODER LEGISLATIVO DESTE MUNICIPIO., ,UM,1.0000,30.450000,30.4500,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102004",2007-09-13 00:00:00,V,"46960120","001 ",FORNECIMENTO DE AGUA AO PODER LEGISLATIVO DESTE MUNICIPIO., ,UM,1.0000,13.450000,13.4500,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-05-18 00:00:00,V,"82884191","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,53.420000,53.4200,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-07-20 00:00:00,V,"88017531","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,48.430000,48.4300,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-08-20 00:00:00,V,"90487061","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,48.740000,48.7400,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-09-20 00:00:00,V,"93059786","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,48.590000,48.5900,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-10-19 00:00:00,V,"95683182","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,48.630000,48.6300,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-11-20 00:00:00,V,"98181339","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,50.760000,50.7600,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102005",2007-12-20 00:00:00,V,"10100574","001 ",FORNECIMENTO DE ENERGIA ELETRICA A ESTACASA LEGISLATIVA., ,UM,1.0000,48.610000,48.6100,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-01-30 00:00:00,S,"2548","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-02-16 00:00:00,V,"002604","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-03-30 00:00:00,S,"2656","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-04-30 00:00:00,S,"002695","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-05-21 00:00:00,S,"2731","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
"002",200700,"01","01  ",2007-01-02 00:00:00,"0102007",2007-06-29 00:00:00,S,"2784","001 ","SERVICO DE LOCACAO DE SISTEMA DE CONTABILIDADE,FOLHA DE PAGAMENTO, LICITACAO, ALMOXARIFADO E PATRIMONIO.", ,UM,1.0000,660.000000,660.0000,
